code,label
T_C1B_36,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - kompetitor
T_C1B_39,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya - kompetitor
T_C1B_42,Bank yang membuat saya merasa prestigious/bergengsi - kompetitor
T_C1B_45,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun - kompetitor
T_C1B_48,Bank yang mempermudah bisnis saya - kompetitor
T_C1B_51,Bank yang memberikan banyak kemudahan - kompetitor
T_C1B_54,Bank yang memiliki kinerja bisnis yang baik - kompetitor
T_C1B_57,Bank yang selalu menggunakan teknologi terbaru - kompetitor
T_C1B_60,Bank yang dimiliki oleh negara - kompetitor
T_C1B_63,Bank swasta terbesar di Indonesia - kompetitor
T_C1B_66,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards) - kompetitor"
T_C1B_69,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap - kompetitor"
T_C1B_72,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - kompetitor
D1,Jenis layanan Teller/Customer Service (CS) yang saat ini baru selesai dialami adalah:
S_D1_17,Others.9
S_D1_18,Others.10
S_D1_19,Others.11
D2,Apakah Bapak/Ibu sudah menggunakan e-form (formulir elektronik) untuk pembukaan rekening baru?
D3,Mengapa Bapak / Ibu tidak menggunakan e-form (formulir elektronik) untuk pembukaan rekening?
D4,Apakah Bapak/Ibu mengetahui perihal adanya e-form (formulir elektronik) untuk pembukaan rekening baru?
D5,"Ketika anda berkunjung ke {0}, dengan staf siapa Anda pernah/sering bertemu atau berinteraksi di {0} tersebut?"
PANEL,PANEL TRANSAKSI
T_KC1_1,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya)
T_KC1_2,Menyediakan layanan weekend banking
T_KC1_3,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat"
T_KC1_4,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir
T_KC1_5,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir
T_KC1_6,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti â€œarea parkir mobilâ€, â€œarea parkir motorâ€"
T_KC1_7,Kebersihan di area parkir
T_KC1_8,Kebersihan pada area masuk cabang
T_KC1_9,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll)"
T_KC1_10,Tersedia tempat duduk yang cukup di ruang tunggu
T_KC1_11,Pendingin ruangan di ruang tunggu sejuk
T_KC1_12,Ruang tunggu nyaman
T_KC1_13,Disediakan Wifi gratis di ruang tunggu
T_KC1_14,Tersedia TV di ruang tunggu
T_KC1_15,Area ruang tunggunya wangi
T_KC1_16,Diputarkan lagu lembut yang mengalun di area banking hall
T_KC1_17,Banking hall/area ruang tunggunya bersih
T_KC1_18,Terdapat tempat sampah dan mudah ditemukan
T_KC1_19,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya)"
T_KC1_20,"Area ruang Tertata dengan baik, rapi dan teratur"
T_KC1_21,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan
T_KC1_22,Terdapat tanaman hidup
T_KC1_23,Tersedianya ruang laktasi
T_KC1_24,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik)
T_KC1_25,Terdapat petunjuk arah ke toilet
T_KC1_26,Terdapat toilet di cabang
T_KC1_27,Toilet bersih
T_KC1_28,Toilet selalu harum dan tidak bau
T_KC1_29,Tersedia wastafel di area toilet
T_KC1_30,Selalu tersedia tisu di toilet
T_KC1_31,Selalu tersedia sabun pencuci tangan di toilet
T_KC1_32,Air selalu mengalir dengan lancar di semua keran yang ada di toilet
T_KC1_33,Toilet selalu berfungsi dengan baik
T_KC1_34,Terdapat tempat sampah di toilet dan mudah ditemukan
T_KC1_35,Tempat sampah tidak penuh
T_KC2_2,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya) - XYZ
T_KC2_5,Menyediakan layanan weekend banking - XYZ
T_KC2_8,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat - XYZ"
T_KC2_11,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - XYZ
T_KC2_14,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - XYZ
T_KC2_17,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”) - XYZ"
T_KC2_20,Kebersihan di area parkir - XYZ
T_KC2_23,Kebersihan pada area masuk cabang - XYZ
T_KC2_26,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll) - XYZ"
T_KC2_29,Tersedia tempat duduk yang cukup di ruang tunggu - XYZ
T_KC2_32,Pendingin ruangan di ruang tunggu sejuk - XYZ
T_KC2_35,Ruang tunggu nyaman - XYZ
T_KC2_38,Disediakan Wifi gratis di ruang tunggu - XYZ
T_KC2_41,Tersedia TV di ruang tunggu - XYZ
T_KC2_44,Area ruang tunggunya wangi - XYZ
T_KC2_47,Diputarkan lagu lembut yang mengalun di area banking hall - XYZ
T_KC2_50,Banking hall/area ruang tunggunya bersih - XYZ
T_KC2_53,Terdapat tempat sampah dan mudah ditemukan - XYZ
T_KC2_56,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya) - XYZ"
T_KC2_59,"Area ruang Tertata dengan baik, rapi dan teratur - XYZ"
T_KC2_62,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan - XYZ
T_KC2_65,Terdapat tanaman hidup - XYZ
T_KC2_68,Tersedianya ruang laktasi - XYZ
T_KC2_71,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik) - XYZ
T_KC2_74,Terdapat petunjuk arah ke toilet - XYZ
T_KC2_77,Terdapat toilet di cabang - XYZ
T_KC2_80,Toilet bersih - XYZ
T_KC2_83,Toilet selalu harum dan tidak bau - XYZ
T_KC2_86,Tersedia wastafel di area toilet - XYZ
T_KC2_89,Selalu tersedia tisu di toilet - XYZ
T_KC2_92,Selalu tersedia sabun pencuci tangan di toilet - XYZ
T_KC2_95,Air selalu mengalir dengan lancar di semua keran yang ada di toilet - XYZ
T_KC2_98,Toilet selalu berfungsi dengan baik - XYZ
T_KC2_101,Terdapat tempat sampah di toilet dan mudah ditemukan - XYZ
T_KC2_104,Tempat sampah tidak penuh - XYZ
T_KC2_107,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank - XYZ"
T_KC2_110,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko - XYZ"
T_KC2_113,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank….. - XYZ"
T_KC2_116,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank….. - XYZ"
T_KC2_3,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya) - kompetitor
T_KC2_6,Menyediakan layanan weekend banking - kompetitor
T_KC2_9,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat - kompetitor"
T_KC2_12,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - kompetitor
T_KC2_15,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - kompetitor
T_KC2_18,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”) - kompetitor"
T_KC2_21,Kebersihan di area parkir - kompetitor
T_KC2_24,Kebersihan pada area masuk cabang - kompetitor
T_KC2_27,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll) - kompetitor"
T_KC2_30,Tersedia tempat duduk yang cukup di ruang tunggu - kompetitor
T_KC2_33,Pendingin ruangan di ruang tunggu sejuk - kompetitor
T_KC2_36,Ruang tunggu nyaman - kompetitor
T_KC2_39,Disediakan Wifi gratis di ruang tunggu - kompetitor
T_KC2_42,Tersedia TV di ruang tunggu - kompetitor
T_KC2_45,Area ruang tunggunya wangi - kompetitor
T_KC2_48,Diputarkan lagu lembut yang mengalun di area banking hall - kompetitor
T_KC2_51,Banking hall/area ruang tunggunya bersih - kompetitor
T_KC2_54,Terdapat tempat sampah dan mudah ditemukan - kompetitor
T_KC2_57,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya) - kompetitor"
T_KC2_60,"Area ruang Tertata dengan baik, rapi dan teratur - kompetitor"
T_KC2_63,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan - kompetitor
T_KC2_66,Terdapat tanaman hidup - kompetitor
T_KC2_69,Tersedianya ruang laktasi - kompetitor
T_KC2_72,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik) - kompetitor
T_KC2_75,Terdapat petunjuk arah ke toilet - kompetitor
T_KC2_78,Terdapat toilet di cabang - kompetitor
T_KC2_81,Toilet bersih - kompetitor
T_KC2_84,Toilet selalu harum dan tidak bau - kompetitor
T_KC2_87,Tersedia wastafel di area toilet - kompetitor
T_KC2_90,Selalu tersedia tisu di toilet - kompetitor
T_KC2_93,Selalu tersedia sabun pencuci tangan di toilet - kompetitor
T_KC2_96,Air selalu mengalir dengan lancar di semua keran yang ada di toilet - kompetitor
T_KC2_99,Toilet selalu berfungsi dengan baik - kompetitor
T_KC2_102,Terdapat tempat sampah di toilet dan mudah ditemukan - kompetitor
T_KC2_105,Tempat sampah tidak penuh - kompetitor
T_KC2_108,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank - kompetitor"
T_KC2_111,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko - kompetitor"
T_KC2_114,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank….. - kompetitor"
T_KC2_117,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank….. - kompetitor"
T_SC1_1,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk)"
T_SC1_2,Penampilannya rapi
T_SC1_3,Menggunakan seragam sekuriti yang lengkap
T_SC1_4,Menyambut nasabah dengan ramah
T_SC1_5,Berperilaku sopan
T_SC1_6,Mengucapkan salam saat nasabah datang/pulang
T_SC1_7,Menawarkan bantuan saat nasabah datang
T_SC1_8,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi
T_SC1_9,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah
T_SC1_10,Memberikan nomor antrian kepada nasabah
T_SC1_11,Mengatur antrian nasabah
T_SC1_12,Mengucapkan terima kasih saat nasabah pulang
T_SC1_13,Jumlah sekuriti memadai
T_SC1_14,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP)
T_SC1_15,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga
T_SC2_2,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk) - XYZ"
T_SC2_5,Penampilannya rapi - XYZ
T_SC2_8,Menggunakan seragam sekuriti yang lengkap - XYZ
T_SC2_11,Menyambut nasabah dengan ramah - XYZ
T_SC2_14,Berperilaku sopan - XYZ
T_SC2_17,Mengucapkan salam saat nasabah datang/pulang - XYZ
T_SC2_20,Menawarkan bantuan saat nasabah datang - XYZ
T_SC2_23,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi - XYZ
T_SC2_26,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah - XYZ
T_SC2_29,Memberikan nomor antrian kepada nasabah - XYZ
T_SC2_32,Mengatur antrian nasabah - XYZ
T_SC2_35,Mengucapkan terima kasih saat nasabah pulang - XYZ
T_SC2_38,Jumlah sekuriti memadai - XYZ
T_SC2_41,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP) - XYZ
T_SC2_44,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga - XYZ
T_SC2_47,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap SEKURITI Bank…? - XYZ"
T_SC2_3,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk) - kompetitor"
T_SC2_6,Penampilannya rapi - kompetitor
T_SC2_9,Menggunakan seragam sekuriti yang lengkap - kompetitor
T_SC2_12,Menyambut nasabah dengan ramah - kompetitor
T_SC2_15,Berperilaku sopan - kompetitor
T_SC2_18,Mengucapkan salam saat nasabah datang/pulang - kompetitor
T_SC2_21,Menawarkan bantuan saat nasabah datang - kompetitor
T_SC2_24,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi - kompetitor
T_SC2_27,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah - kompetitor
T_SC2_30,Memberikan nomor antrian kepada nasabah - kompetitor
T_SC2_33,Mengatur antrian nasabah - kompetitor
T_SC2_36,Mengucapkan terima kasih saat nasabah pulang - kompetitor
T_SC2_39,Jumlah sekuriti memadai - kompetitor
T_SC2_42,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP) - kompetitor
T_SC2_45,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga - kompetitor
T_SC2_48,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap SEKURITI Bank…? - kompetitor"
TL1,"Menurut anda, kapankah saat PALING diperlukan untuk memperbanyak jumlah teller sehingga mengurangi jumlah antrian di bank?"
T_TL2_1,Waktu antrian di Teller cepat
T_TL2_2,Sistem antrian yang dilengkapi dengan nomor antrian
T_TL2_3,Layanan yang diberikan teller cepat
T_TL2_4,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong)
T_TL2_5,Tellernya berpenampilan rapi dan menarik
T_TL2_6,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi)
T_TL2_7,Kehandalan sistem komputer untuk Teller (online)
T_TL2_8,Teller memiliki pengetahuan yang memadai
T_TL2_9,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll)"
T_TL2_10,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani)
T_TL2_11,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan
T_TL2_12,Tellernya tidak mengobrol dengan rekannya / petugas bank lain
T_TL2_13,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu)
T_TL2_14,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah
T_TL2_15,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah)
T_TL2_16,Tellernya selalu melakukan validas setelah selesai transaksi di Teller
T_TL2_17,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah)
T_TL2_18,Terdapat papan nama Teller di area meja kerja Teller
T_TL2_19,Terdapat informasi/signage transaksi di meja kerja teller
T_TL3_2,Waktu antrian di Teller cepat - XYZ
T_TL3_5,Sistem antrian yang dilengkapi dengan nomor antrian - XYZ
T_TL3_8,Layanan yang diberikan teller cepat - XYZ
T_TL3_11,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong) - XYZ
T_TL3_14,Tellernya berpenampilan rapi dan menarik - XYZ
T_TL3_17,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi) - XYZ
T_TL3_20,Kehandalan sistem komputer untuk Teller (online) - XYZ
T_TL3_23,Teller memiliki pengetahuan yang memadai - XYZ
T_TL3_26,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - XYZ"
T_TL3_29,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani) - XYZ
T_TL3_32,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan - XYZ
T_TL3_35,Tellernya tidak mengobrol dengan rekannya / petugas bank lain - XYZ
T_TL3_38,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu) - XYZ
T_TL3_41,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah - XYZ
T_TL3_44,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - XYZ
T_TL3_47,Tellernya selalu melakukan validas setelah selesai transaksi di Teller - XYZ
T_TL3_50,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah) - XYZ
T_TL3_53,Terdapat papan nama Teller di area meja kerja Teller - XYZ
T_TL3_56,Terdapat informasi/signage transaksi di meja kerja teller - XYZ
T_TL3_59,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TELLER bank…? - XYZ"
T_TL3_3,Waktu antrian di Teller cepat - kompetitor
T_TL3_6,Sistem antrian yang dilengkapi dengan nomor antrian - kompetitor
T_TL3_9,Layanan yang diberikan teller cepat - kompetitor
T_TL3_12,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong) - kompetitor
T_TL3_15,Tellernya berpenampilan rapi dan menarik - kompetitor
T_TL3_18,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi) - kompetitor
T_TL3_21,Kehandalan sistem komputer untuk Teller (online) - kompetitor
T_TL3_24,Teller memiliki pengetahuan yang memadai - kompetitor
T_TL3_27,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - kompetitor"
T_TL3_30,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani) - kompetitor
T_TL3_33,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan - kompetitor
T_TL3_36,Tellernya tidak mengobrol dengan rekannya / petugas bank lain - kompetitor
T_TL3_39,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu) - kompetitor
T_TL3_42,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah - kompetitor
T_TL3_45,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - kompetitor
T_TL3_48,Tellernya selalu melakukan validas setelah selesai transaksi di Teller - kompetitor
T_TL3_51,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah) - kompetitor
T_TL3_54,Terdapat papan nama Teller di area meja kerja Teller - kompetitor
T_TL3_57,Terdapat informasi/signage transaksi di meja kerja teller - kompetitor
T_TL3_60,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TELLER bank…? - kompetitor"
TL5,Berapa lama waktu tunggu/antri Teller Anda untuk kunjungan hari ini? ___ menit
TL6,Berapa lamakah waktu tunggu/antri Teller yang Anda bisa terima/toleransi? ___ menit
CS1,"Menurut anda, pada saat kapan yang PALING diperlukan untuk menambah jumlah Customer Service sehingga mengurangi jumlah antrian di bank?"
T_CS2_1,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani)
T_CS2_2,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong)
T_CS2_3,Mengetahui pengetahuan yang baik tentang produk perbankan
T_CS2_4,Memberikan solusi yang tepat terhadap permasalahan nasabah
T_CS2_5,Cepat dalam memberikan layanan
T_CS2_6,Teliti dalam memberikan layanan
T_CS2_7,Waktu antrian di CS cepat
T_CS2_8,CS memiliki kehandalan sistem komputer di meja CS (online)
T_CS2_9,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah
T_CS2_10,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah
T_CS2_11,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll)"
T_CS2_12,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik
T_CS2_13,Memberikan informasi yang lengkap dan akurat
T_CS2_14,Tidak mengobrol dengan rekan kerja
T_CS2_15,CS berpenampilan rapi dan menarik
T_CS2_16,Menunjukkan keinginan untuk membantu nasabah
T_CS2_17,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah).1
T_CS2_18,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan
T_CS2_19,CSnya mengucapkan terima kasih saat mengakhiri layanan
T_CS2_20,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah)"
